Data_Collector,Focal_ID,Date,Time_Start,Point_Sample,Nearest_Neighbor,Focal_Number,Point_Behavior,Behavior_Tally,Ad_Libitum,Location,Contact_ID,<1_ID,<5_ID,<10_ID
Laura Angley,ZY,No Date,8:33:14 PM,10,KJ,FS10,RV/,MBT/,EV_APA_MY/,FL_RK/,,,KJ/,MY/ZY/
Laura Angley,ZY,No Date,8:34:13 PM,12,MY,FS10,FE/,APA_EV/,MY_GTA_KJ/,FBR_GR/,,,,MY/EV/KJ/
Laura Angley,ZY,No Date,8:35:20 PM,14,EV,FS10,RV/,,,FBL_BR/,,,EV/,MY/KJ/
Laura Angley,ZY,No Date,8:36:08 PM,16,EV,FS10,RV/,,,FBL_BR/,,,EV/,MY/KJ/
Laura Angley,ZY,No Date,8:36:49 PM,18,EV,FS10,RV/,,,FBL_BR/,,,EV/,MY/KJ/
Laura Angley,EV,11/26/19,10:43:46 AM,0,MY,FS11,SC_MY/,,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:45:11 AM,2,MY,FS11,SC_MY/,,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:46:33 AM,4,MY,FS11,SC_MY/RPO/,,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:47:36 AM,6,MY,FS11,SC_MY/RPO/,,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:47:47 AM,8,MY,FS11,SC_MY/,GRIA_MY/GRM_MY/,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:47:58 AM,10,MY,FS11,SC_MY/,RPO/,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:48:12 AM,12,MY,FS11,SC_MY/,,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:48:25 AM,14,MY,FS11,SC_MY/,RPO/GTA_MY/GRM_MY/,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,10:58:27 AM,16,MY,FS11,SC_MY/,RPO/,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,EV,11/26/19,11:00:17 AM,18,MY,FS11,SC_MY/,RPO/,,FBR_LG/,MY/,KJ/ZY/,,
Laura Angley,MY,11/26/19,11:05:40 AM,0,EV,FS12,RPC/,,KJ_SC_ZY/,FBR_LG/,,EV/,KJ/ZY/,
Laura Angley,MY,11/26/19,11:08:40 AM,2,EV,FS12,SC_EV/,,KJ_SC_ZY/,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:10:26 AM,4,EV,FS12,SC_EV/,RPC/,KJ_SC_ZY/,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:10:40 AM,6,EV,FS12,SC_EV/,RPC/,KJ_SC_ZY/,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:14:02 AM,8,EV,FS12,SC_EV/,,KJ_SC_ZY/,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:14:22 AM,10,EV,FS12,SC_EV/,RPC/,KJ_SC_ZY/,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:18:45 AM,12,EV,FS12,SC_EV/,,KJ_SC_ZY/,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:19:45 AM,14,EV,FS12,SC_EV/,SGR/GTA_EV/GRIR_EV/GRR_EV/GRER_EV/SGR/,,FBR_LG/,EV/,,KJ/ZY/,
Laura Angley,MY,11/26/19,11:20:04 AM,16,EV,FS12,RPO/,,KJ_SC_ZY/,FBR_LG/,,EV/,KJ/ZY/,
Laura Angley,MY,11/26/19,11:24:52 AM,18,EV,FS12,RPO/,,KJ_SC_ZY/,FBR_LG/,,EV/,KJ/ZY/,
Laura Angley,ZY,11/26/19,11:34:34 AM,0,MY,FS13,RV/,DPA_MY/,,CC_BR/,,,MY/,KJ/EV/
Laura Angley,ZY,11/26/19,11:38:36 AM,2,KJ,FS13,RV/,,,FBL_LG/,,KJ/,EV/MY/,
Laura Angley,ZY,11/26/19,11:40:03 AM,4,KJ,FS13,RV/,,,FBL_LG/,,KJ/,EV/MY/,
Laura Angley,ZY,11/26/19,11:41:07 AM,6,KJ,FS13,RV/,,,FBL_LG/,,KJ/,EV/MY/,
Laura Angley,ZY,11/26/19,11:43:06 AM,8,KJ,FS13,APR_KJ/,GRIR_KJ/GRM_KJ/KJ/GREA_KJ/SGR/,,FBL_LG/,,,EV/MY/,
Laura Angley,ZY,11/26/19,11:46:21 AM,10,KJ,FS13,GRIR_KJ/GRM_KJ/,,,FBL_LG/,,,EV/MY/,
Laura Angley,ZY,11/26/19,11:48:06 AM,12,KJ,FS13,GRM_KJ/,GREA_KJ/APA_MY/,,FBL_LG/,,,EV/MY/,
Laura Angley,ZY,11/26/19,11:50:05 AM,14,MY,FS13,RV/,GTA_MY/,,FBL_RK/,,MY/,EV/,KJ/
Laura Angley,ZY,11/26/19,11:51:19 AM,16,MY,FS13,SGR/,,,FBL_RK/,,,MY/EV/,KJ/
Laura Angley,ZY,11/26/19,11:53:32 AM,18,MY,FS13,SGR/,,,FBL_RK/,,,MY/EV/,KJ/
